name,rating,reviews,company_type,location
KocharTech,3.6,2.3k,IT Services & Consulting , Kolkata +25 other locations
Delhi Public School,3.8,2.3k,Education & Training , New Delhi +275 other locations
TaskUs,3.0,2.3k,BPO , Indore +35 other locations
Aavas Financiers,4.0,2.3k,NBFC , Jaipur +294 other locations
RMSI,3.6,2.3k,IT Services & Consulting , Hyderabad +25 other locations
Cybage,3.8,2.3k,IT Services & Consulting , Pune +15 other locations
Xoriant,4.1,2.3k,IT Services & Consulting , Pune +23 other locations
Straive,3.3,2.3k,IT Services & Consulting , Chennai +31 other locations
Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,Pharma , Haridwar +38 other locations
Sopra Steria,3.9,2.3k,IT Services & Consulting , Noida +20 other locations
Lifestyle,4.2,2.3k,Retail , Bengaluru +129 other locations
Kia India,4.0,2.3k,Automobile , Anantapur +188 other locations
GVK Emergency Management and Research Institute,3.6,2.3k,Non-Profit , Lucknow +213 other locations
Eureka Forbes,3.7,2.3k,Consumer Electronics & Appliances , Mumbai +184 other locations
Sobha,3.8,2.3k,Real Estate , Bengaluru +38 other locations
Apollo Pharmacy,3.6,2.3k,Pharma , Hyderabad +285 other locations
Lodha,4.1,2.3k,Real Estate , Mumbai +30 other locations
Unacademy,2.9,2.2k,EdTech , Bengaluru +73 other locations
Radisson Hotels,4.0,2.2k,Hospitality , New Delhi +129 other locations
Myntra,3.9,2.2k,Internet , Bengaluru +103 other locations
Endurance Technologies Limited,3.9,2.2k,Auto Components , Chhatrapati Sambhajinagar +51 other locations
SBI Securities,3.6,2.2k,Financial Services , Mumbai +317 other locations
Team Computers,3.6,2.2k,IT Services & Consulting , New Delhi +106 other locations
TCE,3.8,2.2k,Engineering & Construction , Mumbai +132 other locations
Panasonic Life Solutions India,3.9,2.2k,Consumer Electronics & Appliances , Haridwar +168 other locations
GAO Tek,4.5,2.2k,Electrical Equipment , New York +41 other locations
AWL Agri Business,4.0,2.2k,FMCG , Ahmedabad +201 other locations
Lava International,3.9,2.2k,Consumer Electronics & Appliances , Noida +222 other locations
Newgen Software Technologies,4.0,2.2k,IT Services & Consulting , Noida +32 other locations
Star Union Dai-ichi Life Insurance,3.8,2.2k,Insurance , Mumbai +319 other locations
Daikin Airconditioning India Pvt. Ltd.,4.2,2.2k,Consumer Electronics & Appliances , Neemrana +109 other locations
Whirlpool,4.0,2.2k,Consumer Electronics & Appliances , Pune +175 other locations
Indian Railways,4.2,2.2k,Railways , Kolkata +249 other locations
Cisco,4.1,2.2k,Hardware & Networking , Bengaluru +46 other locations
Bharti AXA Life Insurance,3.6,2.2k,Insurance , Mumbai +243 other locations
SBI General Insurance,3.6,2.2k,Insurance , Mumbai +289 other locations
GlaxoSmithKline Pharmaceuticals,4.0,2.2k,Pharma , Bengaluru +217 other locations
BNP Paribas,3.7,2.2k,Banking , Mumbai +27 other locations
Renault Nissan Technology & Business Centre India,3.7,2.2k,Automobile , Chennai +19 other locations
Coromandel International,4.1,2.2k,Agro Chemicals , Visakhapatnam +183 other locations
Meesho,3.7,2.2k,Internet , Bengaluru +133 other locations
Nokia Networks,4.1,2.2k,Hardware & Networking , Chennai +87 other locations
Shahi Exports,3.9,2.2k,Fashion & Textile , Bengaluru +72 other locations
Sify Technologies,3.6,2.2k,IT Services & Consulting , Chennai +133 other locations
ValueLabs,3.5,2.2k,IT Services & Consulting , Hyderabad +20 other locations
Ambuja Cements,3.8,2.2k,Building Material , Mumbai +259 other locations
Allstate,3.6,2.1k,Insurance , Pune +17 other locations
Bank of Baroda,3.5,2.1k,Banking , Mumbai +300 other locations
Microsoft Corporation,3.8,2.1k,Software Product , Bengaluru +47 other locations
Life Insurance Corporation of India,4.4,2.1k,Insurance , New Delhi +470 other locations
Brakes India,3.9,2.1k,Auto Components , Chennai +100 other locations
Huawei Technologies,4.0,2.1k,Telecom , Bengaluru +104 other locations
BHEL,4.2,2.1k,Electrical Equipment , Bengaluru +129 other locations
Cargill,3.9,2.1k,Food Processing , Bengaluru +122 other locations
Spark Minda,3.8,2.1k,Auto Components , Pune +75 other locations
upGrad,3.3,2.1k,EdTech , Bengaluru +49 other locations
Mercedes-Benz Research and Development India,3.6,2.1k,IT Services & Consulting , Bengaluru +52 other locations
Poonawalla Fincorp,3.5,2.1k,NBFC , Pune +262 other locations
CAMS,3.6,2.1k,Financial Services , Chennai +107 other locations
Power Mech Projects,3.8,2.1k,Engineering & Construction , Hyderabad +152 other locations
Simplex Infrastructures,3.4,2.1k,Engineering & Construction , Kolkata +138 other locations
FirstCry,3.6,2.1k,Retail , Pune +213 other locations
Generali Central Life Insurance,3.5,2.1k,Insurance , Mumbai +200 other locations
Pfizer,3.9,2.1k,Pharma , Visakhapatnam +133 other locations
Bharat Petroleum,4.1,2.1k,Oil & Gas , Mumbai +261 other locations
Saint-Gobain,3.8,2.1k,Building Material , Mumbai +104 other locations
JK Tyre,3.8,2.1k,Auto Components , Chennai +147 other locations
"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,Automobile , Ahmedabad +105 other locations
Jio Platforms,3.4,2.1k,IT Services & Consulting , Mumbai +103 other locations
Force Motors,3.7,2.1k,Automobile , Pune +106 other locations
Nuvoco Vistas,4.1,2.1k,Building Material , Kolkata +198 other locations
NTT DATA Business Solutions,4.1,2.1k,IT Services & Consulting , Bengaluru +32 other locations
Kotak Securities,3.5,2.1k,Financial Services , Mumbai +140 other locations
Manipal Hospitals,4.1,2.1k,Healthcare , Bengaluru +66 other locations
Ola Cabs,3.3,2.1k,Internet , Bengaluru +112 other locations
Raymond Lifestyle Limited,4.1,2.1k,Fashion & Textile , Mumbai +149 other locations
Reliance Trends,4.0,2.1k,Retail , Bengaluru +393 other locations
ITC Hotels,4.1,2k,Hospitality , Bengaluru +95 other locations
Renault-Nissan,4.1,2k,Automobile , Chennai +86 other locations
CitiusTech,3.2,2k,IT Services & Consulting , Mumbai +17 other locations
IndusInd General Insurance,3.6,2k,Insurance , Mumbai +193 other locations
Infinite Computer Solutions,3.3,2k,IT Services & Consulting , Bengaluru +36 other locations
Delphi TVS,3.9,2k,Auto Components , Chennai +60 other locations
Biological E,4.2,2k,Pharma , Hyderabad +72 other locations
Henry Harvin Education,3.6,2k,EdTech , Noida +33 other locations
Extramarks Education,3.3,2k,EdTech , Noida +111 other locations
Morgan Stanley,3.6,2k,Financial Services , Mumbai +19 other locations
SGS,3.8,2k,"Testing, Inspection and Certification (TIC) ", Mumbai +145 other locations
EPAM Systems,3.7,2k,IT Services & Consulting , Hyderabad +36 other locations
YASH Technologies,3.7,2k,IT Services & Consulting , Hyderabad +31 other locations
K12 Techno Services,3.7,2k,EdTech , Bengaluru +43 other locations
Senco Gold,4.4,2k,Jewellery , Kolkata +79 other locations
Novartis,4.1,2k,Pharma , Hyderabad +75 other locations
Ninjacart,3.8,2k,Internet , Bengaluru +112 other locations
State Street Syntel,3.7,2k,Financial Services , Mumbai +21 other locations
SAP,4.1,2k,Software Product , Bengaluru +54 other locations
IDBI Bank,3.4,2k,Banking , Mumbai +335 other locations
Narayana Health,4.0,2k,Healthcare , Bengaluru +64 other locations
HSBC Electronic Data Processing,4.0,2k,IT Services & Consulting , Bengaluru +19 other locations
AECOM,4.2,2k,Engineering & Construction , Gurugram +122 other locations
Aditya Birla Health Insurance Co,3.7,2k,Insurance , Mumbai +251 other locations
L&T Energy Hydrocarbon,3.8,1.9k,Engineering & Construction , Vadodara +88 other locations
Paisabazaar.com,3.4,1.9k,Internet , Gurugram +35 other locations
Honeywell Automation,3.7,1.9k,Industrial Automation , Pune +78 other locations
Haier Appliances India,4.0,1.9k,Consumer Electronics & Appliances , Pune +161 other locations
Shadowfax Technologies,3.5,1.9k,Logistics , Bengaluru +242 other locations
Schindler,3.9,1.9k,Industrial Machinery , Pune +88 other locations
Motherson Automotive Technologies and Engineering,3.8,1.9k,Auto Components , Chennai +68 other locations
Motherson Automotive Technologies and Engineering,3.8,1.9k,Auto Components , Chennai +68 other locations
R.R. Donnelley,3.6,1.9k,Marketing & Advertising , Chennai +26 other locations
Philips,3.8,1.9k,Medical Equipment , Bengaluru +97 other locations
Dr Lal PathLabs,4.2,1.9k,Healthcare , New Delhi +202 other locations
V-Guard Industries,4.3,1.9k,Consumer Electronics & Appliances , Kochi +169 other locations
NCR Voyix,3.5,1.9k,IT Services & Consulting , Hyderabad +90 other locations
Microland,3.5,1.9k,IT Services & Consulting , Bengaluru +45 other locations
Uflex,3.8,1.9k,Packaging , Noida +46 other locations
Parle Products,3.9,1.9k,FMCG , Mumbai +250 other locations
Gabriel India Limited,4.1,1.9k,Auto Components , Pune +52 other locations
CMS Infosystems,3.5,1.9k,Software Product , Mumbai +218 other locations
Spinny,3.7,1.9k,Internet , Gurugram +63 other locations
Globiva,3.0,1.9k,BPO , Gurugram +30 other locations
Crisil,3.5,1.9k,Analytics & KPO , Mumbai +81 other locations
Google,4.4,1.9k,Software Product , Bengaluru +86 other locations
Adecco Group,3.8,1.9k,Recruitment , Bengaluru +180 other locations
CNH (Case New Holland),3.7,1.9k,Industrial Machinery , Gurugram +136 other locations
Tekwissen,4.9,1.9k,IT Services & Consulting , Visakhapatnam +5 other locations
Lucas-TVS,3.9,1.9k,Auto Components , Chennai +77 other locations
Angel One,3.6,1.9k,FinTech , Mumbai +132 other locations
Aye Finance,4.1,1.9k,NBFC , Gurugram +367 other locations
DHL Supply Chain,4.2,1.9k,Logistics , Mumbai +101 other locations
Safexpress,3.9,1.9k,Logistics , New Delhi +159 other locations
Aadhar Housing Finance,4.0,1.9k,NBFC , Mumbai +325 other locations
G R Infraprojects,4.1,1.9k,Engineering & Construction , Gurugram +158 other locations
NTPC,4.2,1.9k,Power , New Delhi +125 other locations
HTC Global Services,3.4,1.9k,IT Services & Consulting , Chennai +32 other locations
Thomson Reuters,3.8,1.9k,Software Product , Bengaluru +27 other locations
Iris Software,3.8,1.9k,IT Services & Consulting , Noida +23 other locations
Tata Power,3.9,1.9k,Power , Mumbai +152 other locations
Infinx,3.7,1.9k,Software Product , Hyderabad +36 other locations
Tata Tele Business Services,3.6,1.9k,Telecom , Mumbai +136 other locations
Trident Group,3.3,1.9k,Fashion & Textile , Barnala +58 other locations
Hindustan Aeronautics,4.3,1.9k,Defence & Aerospace , Bengaluru +64 other locations
PI Industries,3.8,1.8k,Agro Chemicals , Vadodara +107 other locations
TVS Sundram Fasteners,3.6,1.8k,Auto Components , Chennai +66 other locations
Torrent Power,3.8,1.8k,Power , Ahmedabad +61 other locations
ICICI Home Finance,3.7,1.8k,Financial Services , Mumbai +219 other locations
KENT RO Systems,3.8,1.8k,Consumer Electronics & Appliances , Noida +154 other locations
CSB Bank,3.2,1.8k,Banking , Mumbai +234 other locations
NeoSOFT,3.4,1.8k,IT Services & Consulting , Mumbai +24 other locations
Aragen Life Sciences,3.9,1.8k,Clinical Research , Hyderabad +30 other locations
Jindal Saw,4.0,1.8k,Iron & Steel , Mundra +76 other locations
Medi Assist India,3.5,1.8k,Insurance , Bengaluru +66 other locations
First American (India),3.5,1.8k,Insurance , Bengaluru +22 other locations
Verizon,3.5,1.8k,Telecom , Hyderabad +11 other locations
Polycab Wires,4.0,1.8k,Electrical Equipment , Vadodara +166 other locations
TELUS Digital,3.6,1.8k,IT Services & Consulting , Noida +26 other locations
Honda Cars,4.3,1.8k,Automobile , Bhiwadi +117 other locations
AXA Global Business Services,3.8,1.8k,IT Services & Consulting , Pune +11 other locations
Fusion CX,3.3,1.8k,BPO , Kolkata +57 other locations
Infra.Market,3.9,1.8k,Building Material , Mumbai +132 other locations
AkzoNobel,4.1,1.8k,Chemicals , Pune +162 other locations
Sterling & Wilson,4.0,1.8k,Engineering & Construction , Mumbai +130 other locations
Capri Global Capital,3.6,1.8k,NBFC , New Delhi +332 other locations
Godrej Properties,3.6,1.8k,Real Estate , Mumbai +34 other locations
Innovsource Services,3.9,1.8k,Recruitment , Mumbai +251 other locations
Stellar Migration,1.3,1.8k,Other , Dubai +7 other locations
Haldiram Foods International Limited,3.8,1.8k,FMCG , Nagpur +166 other locations
DIVI'S Laboratories,3.6,1.8k,Pharma , Visakhapatnam +36 other locations
Cafe Coffee Day,3.7,1.8k,Hospitality , Bengaluru +105 other locations
MetLife,4.0,1.8k,Insurance , Noida +44 other locations
Hindustan Petroleum,4.2,1.8k,Oil & Gas , Mumbai +256 other locations
SS&C TECHNOLOGIES,3.2,1.8k,IT Services & Consulting , Mumbai +30 other locations
Digit Insurance,3.7,1.7k,Insurance , Bengaluru +88 other locations
Tata Communications Transformation Services,3.8,1.7k,Telecom , Pune +95 other locations
Kalyan Jewellers,4.4,1.7k,Jewellery , Thrissur +156 other locations
USHA International,4.1,1.7k,Consumer Electronics & Appliances , Gurugram +148 other locations
Reckitt Benckiser,3.9,1.7k,FMCG , Gurugram +135 other locations
Air India,3.4,1.7k,Aviation , New Delhi +68 other locations
Security and Intelligence Services (India),4.0,1.7k,Law Enforcement & Security , New Delhi +196 other locations
Future Retail,4.4,1.7k,Retail , Mumbai +197 other locations
Dhani Loans and Services,3.9,1.7k,NBFC , Gurugram +186 other locations
USV,4.0,1.7k,Pharma , Mumbai +108 other locations
Isgec Heavy Engineering,3.8,1.7k,Engineering & Construction , Noida +91 other locations
Vedantu,3.3,1.7k,EdTech , Bengaluru +72 other locations
HDFC Securities,3.4,1.7k,Financial Services , Mumbai +186 other locations
BT Business,3.9,1.7k,Telecom , Gurugram +12 other locations
LivSpace,3.3,1.7k,Architecture & Interior Design , Bengaluru +53 other locations
Pine Labs,3.3,1.7k,FinTech , Noida +119 other locations
Adani Green Energy,3.9,1.7k,Power , Ahmedabad +114 other locations
Annapurna Finance,3.9,1.7k,NBFC , Bhubaneswar +395 other locations
Bata,3.5,1.7k,Fashion & Textile , Gurugram +149 other locations
XBP Global,3.2,1.7k,Internet , Chennai +23 other locations
Metro Cash & Carry,4.0,1.7k,Retail , Bengaluru +88 other locations
BVG India,4.2,1.7k,Facility Management Services , Pune +135 other locations
Mother Dairy Fruit & Vegetable,4.0,1.7k,Food Processing , New Delhi +127 other locations
Indian Navy,4.6,1.7k,Defence & Aerospace , Mumbai +74 other locations
Granules India Limited,3.8,1.7k,Pharma , Hyderabad +22 other locations
NEC,4.0,1.7k,IT Services & Consulting , Noida +54 other locations
Provana,3.9,1.7k,BPO , Noida +11 other locations
Sysnet Global Technologies,3.7,1.7k,IT Services & Consulting , New Delhi +153 other locations
Rungta Mines,4.0,1.7k,Metals & Mining , Chaibasa +56 other locations
Cavinkare,4.0,1.7k,FMCG , Chennai +172 other locations
Orange Business,4.1,1.7k,IT Services & Consulting , Gurugram +52 other locations
Orchids International School,3.9,1.7k,Education & Training , Bengaluru +33 other locations
Medanta the Medicity,4.0,1.7k,Healthcare , Gurugram +49 other locations
Hitachi Astemo,4.0,1.7k,Auto Components , Neemrana +51 other locations
FactSet,3.7,1.7k,Analytics & KPO , Hyderabad +17 other locations
Caterpillar Inc,4.1,1.7k,Industrial Machinery , Chennai +43 other locations
Caterpillar Inc,4.1,1.7k,Industrial Machinery , Chennai +43 other locations
HighRadius,2.5,1.7k,Software Product , Hyderabad +15 other locations
Frankfinn Institute of Air Hostess Training,3.9,1.7k,Education & Training , Gurugram +60 other locations
Cushman & Wakefield,4.1,1.7k,Real Estate , Gurugram +44 other locations
KONE,4.1,1.6k,Industrial Machinery , Chennai +72 other locations
Yamaha Motor,4.1,1.6k,Automobile , Chennai +155 other locations
MagicBricks,4.0,1.6k,Internet , Noida +35 other locations
Rane (Madras),3.9,1.6k,Auto Components , Chennai +57 other locations
DHL Express,4.1,1.6k,Logistics , Mumbai +90 other locations
JSW Bhushan Power & Steel,4.0,1.6k,Iron & Steel , Jharsuguda +65 other locations
BA Continuum,3.9,1.6k,IT Services & Consulting , Hyderabad +18 other locations
L.G.Balakrishnan & Bros,3.5,1.6k,Auto Components , Coimbatore +61 other locations
Procter & Gamble,4.0,1.6k,FMCG , Mumbai +252 other locations
Compass Group Support Services,4.0,1.6k,Facility Management Services , Bengaluru +77 other locations
Wipro Enterprises Ltd,3.8,1.6k,FMCG , Bengaluru +122 other locations
American Broadcasting Company,4.0,1.6k,Engineering & Construction , Bengaluru +105 other locations
Johnson & Johnson,4.0,1.6k,Healthcare , Mumbai +172 other locations
Tata Play,3.9,1.6k,Broadcasting , Mumbai +222 other locations
Matrimony.com,4.0,1.6k,Internet , Chennai +64 other locations
Vardhman Fabrics,4.0,1.6k,Fashion & Textile , Baddi +63 other locations
CG Power and Industrial Solutions,3.8,1.6k,Electrical Equipment , Bhopal +91 other locations
Patanjali Foods,3.7,1.6k,FMCG , Haridwar +233 other locations
Hero Motors Company,3.9,1.6k,Automobile , Ghaziabad +231 other locations
Clover Infotech,3.4,1.6k,IT Services & Consulting , Mumbai +22 other locations
Chegg,4.1,1.6k,EdTech , New Delhi +77 other locations
Belrise Industries,3.7,1.6k,Auto Components , Pune +58 other locations
Arvind Group,4.0,1.6k,Fashion & Textile , Ahmedabad +91 other locations
Suryoday Small Finance Bank,4.0,1.6k,Banking , Mumbai +232 other locations
CMA CGM,3.9,1.6k,Ports & Shipping , Chennai +37 other locations
Krishna Maruti,3.8,1.6k,Auto Components , Gurugram +50 other locations
NielsenIQ,3.5,1.6k,Analytics & KPO , Chennai +54 other locations
Tata 1mg,3.6,1.6k,Internet , Gurugram +62 other locations
HERE Technologies,3.8,1.6k,IT Services & Consulting , Mumbai +19 other locations
ReNew,4.2,1.6k,Power , Gurugram +105 other locations
Marico,3.8,1.6k,FMCG , Mumbai +183 other locations
Toyota Kirloskar Motor,4.3,1.6k,Automobile , Bengaluru +90 other locations
IIFL SAMASTA,3.7,1.6k,NBFC , Bengaluru +397 other locations
Coronis Ajuba Solutions,3.9,1.6k,BPO , Chennai +31 other locations
Godrej Industries Group,3.9,1.6k,Real Estate , Mumbai +149 other locations
PharmEasy,3.7,1.6k,Internet , Bengaluru +70 other locations
Welspun Living Limited,3.9,1.6k,Fashion & Textile , Anjar +86 other locations
Dixon Technologies,3.9,1.6k,Electronics Manufacturing , Noida +46 other locations
Goldman Sachs,3.3,1.6k,Financial Services , Bengaluru +23 other locations
Wockhardt,3.8,1.6k,Pharma , Chhatrapati Sambhajinagar +84 other locations
Honda,4.1,1.6k,Automobile , Gurugram +228 other locations
Satin Creditcare Network,3.9,1.6k,NBFC , Gurugram +326 other locations
Emami,3.8,1.6k,FMCG , Kolkata +175 other locations
Shriram Life Insurance,3.5,1.6k,Insurance , Hyderabad +325 other locations
Veritas Finance,4.3,1.6k,NBFC , Chennai +298 other locations
Health Care Global Enterprises,4.3,1.6k,Healthcare , Bengaluru +53 other locations
Teva Pharmaceuticals,3.9,1.6k,Pharma , Bengaluru +52 other locations
ZF Commercial Vehicle Control Systems,3.8,1.6k,Auto Components , Chennai +48 other locations
iOPEX Technologies,3.2,1.6k,IT Services & Consulting , Chennai +16 other locations
Supreme Industries,4.1,1.5k,Petrochemicals , Gwalior +123 other locations
Mercer,3.6,1.5k,Management Consulting , New Delhi +17 other locations
KFC,4.0,1.5k,Hospitality , New Delhi +173 other locations
Sanofi,4.0,1.5k,Pharma , Hyderabad +92 other locations
Relaxo Footwear,4.0,1.5k,Fashion & Textile , New Delhi +158 other locations
Asahi India Glass,3.8,1.5k,Auto Components , Chennai +88 other locations
Urban Company,3.3,1.5k,Internet , Gurugram +59 other locations
Broadridge Financial Solutions,3.8,1.5k,FinTech , Hyderabad +14 other locations
Cemindia Projects,4.2,1.5k,Engineering & Construction , Kolkata +88 other locations
IFB,3.6,1.5k,Consumer Electronics & Appliances , Bengaluru +177 other locations
Amul India,4.0,1.5k,Food Processing , Ahmedabad +205 other locations
IndiaFirst Life Insurance,3.8,1.5k,Insurance , Mumbai +245 other locations
Bajaj Capital,3.6,1.5k,Financial Services , New Delhi +173 other locations
Marriott International,4.1,1.5k,Hospitality , Bengaluru +90 other locations
Dainik Bhaskar Group,4.2,1.5k,Printing & Publishing , Bhopal +137 other locations
Suguna Foods,4.0,1.5k,Food Processing , Coimbatore +204 other locations
Gujarat Fluorochemicals,3.9,1.5k,Chemicals , Bharuch +32 other locations
Kotak Mahindra Prime,3.9,1.5k,NBFC , Mumbai +174 other locations
Nayara Energy,4.2,1.5k,Oil & Gas , Jamnagar +99 other locations
HCL Infosystems,4.0,1.5k,IT Services & Consulting , Noida +105 other locations
Muthoot Microfin,4.2,1.5k,NBFC , Kochi +408 other locations
Hinduja Leyland Finance,3.9,1.5k,NBFC , Chennai +300 other locations
Tesco,3.6,1.5k,Retail , Bengaluru +17 other locations
Bisleri,4.2,1.5k,Beverage , Mumbai +179 other locations
SHYAM METALICS AND ENERGY,3.4,1.5k,Metals & Mining , Kolkata +75 other locations
Lumax Industries,3.9,1.5k,Auto Components , Gurugram +41 other locations
XL Dynamics,3.6,1.5k,IT Services & Consulting , Mumbai +32 other locations
Patra India,3.6,1.5k,BPO , Visakhapatnam +26 other locations
Steel Strips Wheels,3.8,1.5k,Auto Components , Chennai +51 other locations
Oracle Cerner,3.4,1.5k,Software Product , Bengaluru +7 other locations
Evalueserve,3.0,1.5k,Analytics & KPO , Gurugram +15 other locations
GMR Group,3.9,1.5k,Engineering & Construction , New Delhi +72 other locations
Karur Vysya Bank,3.5,1.5k,Banking , Chennai +189 other locations
Tata Consumer Products,3.5,1.5k,FMCG , Bengaluru +221 other locations
GE VERNOVA,4.1,1.5k,Power , Bengaluru +83 other locations
Canara Bank,3.6,1.5k,Banking , Bengaluru +223 other locations
Piramal Pharma,4.0,1.5k,Pharma , Mumbai +83 other locations
SAI Life Sciences,3.9,1.5k,Clinical Research , Hyderabad +26 other locations
Ashoka Buildcon,4.1,1.5k,Engineering & Construction , Nashik +155 other locations
Max Fashion,4.0,1.5k,Retail , Bengaluru +153 other locations
Page Industries,4.1,1.5k,Fashion & Textile , Bengaluru +164 other locations
Honeywell Technology Solutions,3.7,1.5k,Industrial Automation , Bengaluru +18 other locations
QualityKiosk Technologies,3.2,1.5k,IT Services & Consulting , Mumbai +20 other locations
Tanishq,4.1,1.5k,Jewellery , Kolkata +236 other locations
Wheelseye Technology,3.4,1.5k,Internet , Gurugram +225 other locations
Taurus BPO Services,4.1,1.4k,BPO , Pune +23 other locations
Tata AutoComp Systems,3.8,1.4k,Auto Components , Pune +44 other locations
Sonata Software,3.4,1.4k,IT Services & Consulting , Bengaluru +16 other locations
Gland Pharma,4.0,1.4k,Pharma , Hyderabad +35 other locations
Tata Group,4.2,1.4k,IT Services & Consulting , Mumbai +170 other locations
ISS Facility Services,4.0,1.4k,Facility Management Services , Mumbai +66 other locations
Devyani International,3.8,1.4k,Hospitality , New Delhi +135 other locations
Oberoi Group of Hotels,4.1,1.4k,Hospitality , New Delhi +38 other locations
Airtel Payments Bank,3.8,1.4k,Banking , Gurugram +332 other locations
Daimler India Commercial Vehicles,3.9,1.4k,Automobile , Chennai +48 other locations
Valeo,4.0,1.4k,Auto Components , Chennai +23 other locations
Indoco Remedies,3.5,1.4k,Pharma , Mumbai +83 other locations
Aon,3.8,1.4k,Management Consulting , Bengaluru +25 other locations
V5 Global Services,3.9,1.4k,Recruitment , New Delhi +215 other locations
NIIT,3.5,1.4k,Education & Training , Gurugram +102 other locations
Acuity Analytics,3.2,1.4k,Analytics & KPO , Bengaluru +16 other locations
Narayana Educational Society,3.5,1.4k,Education & Training , Hyderabad +144 other locations
Heritage Foods,4.0,1.4k,Food Processing , Hyderabad +126 other locations
Apco Infratech,3.8,1.4k,Engineering & Construction , Lucknow +95 other locations
Hyatt Regency,4.0,1.4k,Hospitality , New Delhi +50 other locations
Bharat Forge,3.7,1.4k,Auto Components , Pune +28 other locations
Acmegrade,3.9,1.4k,EdTech , Bengaluru +21 other locations
Amneal Pharmaceuticals,4.2,1.4k,Pharma , Ahmedabad +44 other locations
Agilus Diagnostics,4.1,1.4k,Healthcare , Mumbai +136 other locations
Chandigarh University,4.2,1.4k,Education & Training , Chandigarh +48 other locations
PNB Housing Finance,3.8,1.4k,NBFC , New Delhi +168 other locations
Apexon,3.2,1.4k,IT Services & Consulting , Bengaluru +21 other locations
SBFC Finance,3.8,1.4k,NBFC , Mumbai +218 other locations
Happiest Minds Technologies,3.4,1.4k,IT Services & Consulting , Bengaluru +17 other locations
Sony,4.1,1.4k,Consumer Electronics & Appliances , New Delhi +145 other locations
IDC Technologies,3.1,1.4k,IT Services & Consulting , Noida +66 other locations
Tieto,4.1,1.4k,IT Services & Consulting , Pune +14 other locations
AB InBev India,3.3,1.4k,Beverage , Bengaluru +77 other locations
Jaquar,4.0,1.4k,Building Material , Gurugram +114 other locations
Morningstar,3.7,1.4k,Financial Services , Mumbai +18 other locations
Labmentix,4.5,1.4k,Bengaluru +31 other locations,
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.4k,Auto Components , Pune +47 other locations
Altimetrik,3.5,1.4k,IT Services & Consulting , Bengaluru +14 other locations
Aumovio,3.8,1.4k,Auto Components , Bengaluru +21 other locations
J. Kumar Infraprojects,4.1,1.4k,Engineering & Construction , Mumbai +41 other locations
The Muthoot Group,3.6,1.4k,Financial Services , New Delhi +310 other locations
Amara Raja Energy & Mobility,4.0,1.4k,Auto Components , Tirupati +93 other locations
TCS iON,3.8,1.4k,IT Services & Consulting , Chennai +115 other locations
Indegene,3.3,1.4k,Analytics & KPO , Bengaluru +32 other locations
Slk Software Services,3.2,1.4k,IT Services & Consulting , Bengaluru +15 other locations
Vfs Global Services,3.4,1.4k,IT Services & Consulting , Mumbai +32 other locations
Xiaomi,3.8,1.4k,Consumer Electronics & Appliances , Bengaluru +212 other locations
VLCC,3.3,1.4k,Beauty & Personal Care , New Delhi +111 other locations
Adobe,3.7,1.4k,Software Product , Bengaluru +21 other locations
Unisys,3.5,1.4k,IT Services & Consulting , Bengaluru +18 other locations
Infogain,3.5,1.4k,IT Services & Consulting , Bengaluru +23 other locations
Nykaa,3.4,1.4k,Internet , Mumbai +116 other locations
FedEx Express,4.0,1.4k,Logistics , Mumbai +94 other locations
Sansera Engineering,4.0,1.4k,Auto Components , Bengaluru +28 other locations
DCM Shriram,4.1,1.4k,Chemicals , Bharuch +109 other locations
AtkinsRealis,3.7,1.4k,Engineering & Construction , Bengaluru +54 other locations
Kantar,3.5,1.4k,Analytics & KPO , Bengaluru +44 other locations
MedPlus,3.6,1.4k,Retail , Hyderabad +140 other locations
Oracle Financial Services Software,3.4,1.4k,Software Product , Bengaluru +22 other locations
Sheenlac Paints,4.2,1.4k,Chemicals , Chennai +162 other locations
Faurecia,3.9,1.4k,Auto Components , Pune +28 other locations
Eaton,4.0,1.4k,Electronics Manufacturing , Pune +22 other locations
EOSGlobe,2.9,1.4k,BPO , Mumbai +29 other locations
Paytm Payments Bank,3.8,1.4k,Banking , Noida +137 other locations
Aforeserve,3.4,1.4k,IT Services & Consulting , Mumbai +158 other locations
Worley,4.1,1.4k,Engineering & Construction , Mumbai +56 other locations
Fino Payments Bank,3.8,1.4k,Banking , Mumbai +271 other locations
Amity University,3.6,1.3k,Education & Training , Noida +86 other locations
VOIS,3.8,1.3k,IT Services & Consulting , Pune +21 other locations
Chetu,3.6,1.4k,Software Product , Noida +14 other locations
Sharekhan,3.7,1.3k,Financial Services , Mumbai +113 other locations
Bajaj Housing Finance,3.6,1.3k,NBFC , Pune +169 other locations
mPokket,4.4,1.3k,NBFC , Kolkata +21 other locations
City Union Bank,3.0,1.3k,Banking , Chennai +193 other locations
Aerial Telecom Solutions,4.2,1.3k,Telecom , Sahibzada Ajit Singh Nagar +111 other locations
TEKsystems,3.2,1.3k,IT Services & Consulting , Bengaluru +18 other locations
JioMart,3.9,1.3k,Retail , Mumbai +297 other locations
